time,cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,CPI
45.35983192,1335471027,2095565419,22411013,133073,6212016,640838,24484,34968,22384211,1951,622,18359,47118,83971,218438,0.637284341
45.6602628,1340488283,2145479929,21965833,128484,6611810,641378,22268,22980,21938082,1615,782,17574,41611,86513,183128,0.6247964686
45.96067281,1335899804,2132616827,22235072,119697,5672739,684905,41925,40999,22355008,1356,1832,8710,33758,89002,217620,0.6264134218
46.26108673,1336326123,2130499574,21949321,156693,7284346,657975,37774,37273,21936044,1772,1107,36088,40141,75967,183169,0.6272360433
46.56147406,1335268919,2124513088,21536209,209164,7487253,823387,35488,35248,21704888,4458,926,39022,114042,217618,573294,0.628505857
46.86188827,1333064823,2123947921,21995108,154621,6056310,734425,41707,43130,21744696,3787,1233,23313,82904,87049,209853,0.6276353623
47.16231181,1343059262,2132962576,22406505,181530,5634061,739118,44905,36093,22322445,1958,962,16823,37244,171217,500004,0.6296684607
47.46272914,1344699908,2129574378,22686988,201100,4375536,746796,30688,15963,22716139,2473,938,2304,38370,86501,514763,0.6314406869
47.76315515,1346169324,2136909281,22651718,119076,4896188,691138,29036,22441,22573048,1687,962,13238,46810,87065,238027,0.6299609141
48.06356707,1343307124,2126820239,22256694,251949,4572493,927953,41480,51335,22219323,6908,1711,10476,128823,218356,592070,0.6316035081
48.3639509,1337875013,2150889847,21948841,104838,4048667,1020448,42213,33592,22025627,9417,2960,4489,138940,130429,377704,0.622010009
48.66434061,1332288311,2144598820,21292663,242787,6147139,1143282,44050,30741,21068747,7819,2829,58664,162798,335051,664775,0.6212296205
48.96477511,1333014979,2190862388,20394469,329484,8443277,1166511,55470,68764,20855681,6762,2061,81562,90580,118643,341935,0.6084430434
49.26518328,1344954127,2155530693,22092986,126950,5802400,1128864,48074,30846,22165507,6174,2190,23007,99708,78860,264009,0.6239549877
49.5656028,1344085635,2121670526,22339478,132644,6109694,1095334,46062,32004,22512055,4850,2058,33720,46561,84952,288693,0.6335034674
49.8660211,1337414171,2128458145,22055160,205904,6568274,1071220,36315,48110,21793519,5177,1519,33724,51173,75948,254398,0.6283488234
50.16643838,1343648591,2270198990,20703921,210457,7434891,1169793,42582,17041,20632307,4949,2049,43685,57084,95447,622154,0.5918637956
50.46684705,1340748452,2220207779,20852837,194696,8696546,1144190,35898,57332,20586985,4329,7229,70807,66963,107136,181448,0.6038842241
50.76726536,1340083113,2260095364,20539286,172774,6959681,1205181,46322,36990,20076219,3893,1061,78624,91101,107128,242668,0.59293211
51.06767729,1339302307,2314712949,20167260,244805,5629778,1237866,46503,35622,20389338,4356,890,87755,86484,235326,604476,0.5786040587
51.36780884,1342644598,2344127082,19650816,221200,7772344,1346277,52923,52602,19199671,6880,10818,141608,82430,60879,299724,0.5727695432
51.66824404,1343476228,2633365944,16583566,191220,9983205,1557749,39711,45162,17882046,4835,3110,182553,63200,258939,723658,0.5101745282
51.96863067,1333493521,2723931310,15635292,187769,9235334,1686334,55258,83605,15486177,7991,3760,174843,79912,239007,992834,0.4895474112
52.26907566,1345328018,2727455877,15959032,197214,8005013,1783433,42637,33175,15815308,6352,1724,165703,130458,128824,417345,0.4932538155
52.56948325,1339400298,2773030889,15420308,283218,7808032,1954041,48003,74124,15597039,8489,1711,85617,90330,299071,807431,0.4830095126
52.8698951,1339130288,2726207180,16248299,160171,5862735,1903839,43181,45138,15102362,8542,2187,144982,176909,834231,1775207,0.4912063536
53.17030597,1341543551,2163853061,22951670,105811,5080619,416143,22088,13849,22944030,2831,358,505,21231,98242,182927,0.6199790435
53.47071566,1340575560,2159747131,23118195,79863,4310963,389375,21105,7033,23190825,1468,583,860,46270,92712,186656,0.6207094992
